id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
38,5857,5.038459898974884e-06,3.667042339407818e-06,1.2721017254931498e-05,3.256720685781374e-06,6.187770153773163e-06,2.039106868825615e-06
39,6135,5.46975357316817e-06,3.667042339407818e-06,1.5135635276489755e-05,3.256720685781374e-06,6.342633720715063e-06,2.039106868825615e-06
40,6428,5.342126560270527e-06,3.667042339407818e-06,1.2155230474086303e-05,3.256720685781374e-06,6.535295084091025e-06,2.039106868825615e-06
41,6734,5.41890662396949e-06,3.667042339407818e-06,1.2983969916991462e-05,3.256720685781374e-06,6.3421324731902124e-06,2.039106868825615e-06
42,7054,5.626563549988122e-06,3.667042339407818e-06,1.1018156025137278e-05,3.256720685781374e-06,6.414284474930143e-06,2.039106868825615e-06
43,7390,8.130009022713998e-06,3.667042339407818e-06,1.3240587082218897e-05,3.256720685781374e-06,1.1636665612660822e-05,2.039106868825615e-06
44,7742,5.4102109033480625e-06,3.667042339407818e-06,1.3040067366745637e-05,3.256720685781374e-06,6.2362687651176715e-06,2.039106868825615e-06
45,8111,5.403409799625894e-06,3.667042339407818e-06,1.3325602686988663e-05,3.256720685781374e-06,6.578336322282601e-06,2.039106868825615e-06
46,8497,6.223967934799598e-06,3.667042339407818e-06,1.4914783910118553e-05,3.256720685781374e-06,6.648110013380182e-06,2.039106868825615e-06
47,8902,5.575196980305185e-06,3.667042339407818e-06,1.1501888617106541e-05,3.256720685781374e-06,6.352615099332488e-06,2.039106868825615e-06
48,9326,5.409719093710523e-06,3.667042339407818e-06,1.4084796140614739e-05,3.256720685781374e-06,1.0473288974357014e-05,2.039106868825615e-06
49,9770,7.42465227140741e-06,3.667042339407818e-06,1.3848312557536724e-05,3.256720685781374e-06,6.368899662638638e-06,2.039106868825615e-06
50,10235,5.864374918301745e-06,3.667042339407818e-06,1.3061238313571499e-05,3.256720685781374e-06,7.0059654709182835e-06,2.039106868825615e-06
51,10722,5.936693776078554e-06,3.667042339407818e-06,1.4701456170632666e-05,3.256720685781374e-06,6.53300706051864e-06,2.039106868825615e-06
52,11233,5.884988961890068e-06,3.667042339407818e-06,1.4513500182719687e-05,3.256720685781374e-06,6.898687113576227e-06,2.039106868825615e-06
53,11768,7.642603990255287e-06,3.667042339407818e-06,1.098293580626404e-05,3.256720685781374e-06,1.0054890271516821e-05,2.039106868825615e-06
54,12328,6.081685085408027e-06,3.667042339407818e-06,1.4414016029263843e-05,3.256720685781374e-06,6.704574896869994e-06,2.039106868825615e-06
55,12915,5.7413002985925855e-06,3.667042339407818e-06,1.4938442364617739e-05,3.256720685781374e-06,6.634534628318347e-06,2.039106868825615e-06
56,13530,5.836567875198849e-06,3.667042339407818e-06,1.6783152521757927e-05,3.256720685781374e-06,7.142195944775499e-06,2.039106868825615e-06
57,14174,7.2595547331191936e-06,3.667042339407818e-06,1.5782203125284204e-05,3.256720685781374e-06,9.340275758678964e-06,2.039106868825615e-06
58,14849,6.123579458015375e-06,3.667042339407818e-06,1.1378277415048797e-05,3.256720685781374e-06,6.865119201919111e-06,2.039106868825615e-06
59,15556,5.692649727524875e-06,3.667042339407818e-06,1.5436882652700576e-05,3.256720685781374e-06,6.783097468969846e-06,2.039106868825615e-06
60,16297,7.579595375377035e-06,3.667042339407818e-06,1.6384302651786348e-05,3.256720685781374e-06,9.071360982078098e-06,2.039106868825615e-06
61,17073,5.83880439078613e-06,3.667042339407818e-06,1.4223449435334895e-05,3.256720685781374e-06,7.297007779081348e-06,2.039106868825615e-06
62,17886,6.377676996117828e-06,3.667042339407818e-06,1.2047416369653475e-05,3.256720685781374e-06,9.118864150518114e-06,2.039106868825615e-06
63,18738,7.049303729679964e-06,3.667042339407818e-06,1.4222079222173545e-05,3.256720685781374e-06,7.023156319067641e-06,2.039106868825615e-06
