id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
46,8497,0.00037096101451764685,0.001161051537367907,1.9676477414966543e-06,6.132902150178767e-08,5.412609616181171e-06,1.7341771924243588e-06
47,8902,0.00038876934711436586,0.001161051537367907,2.0343784374270486e-06,6.132902150178767e-08,5.467423854905872e-06,1.7341771924243588e-06
48,9326,0.000405168446404418,0.001161051537367907,2.0470609998283736e-06,6.132902150178767e-08,5.545596720552127e-06,1.7341771924243588e-06
49,9770,0.0004247236398249834,0.001161051537367907,1.997469391525097e-06,6.132902150178767e-08,9.128771638430983e-06,1.7341771924243588e-06
50,10235,0.0004436054751531753,0.001161051537367907,1.944107256928012e-06,6.132902150178767e-08,5.336103639663227e-06,1.7341771924243588e-06
51,10722,0.00046651409179767196,0.001161051537367907,2.0023202567019583e-06,6.132902150178767e-08,5.342737549033056e-06,1.7341771924243588e-06
52,11233,0.0004884057761108865,0.001161051537367907,2.0203921076006175e-06,6.132902150178767e-08,5.3699895491490095e-06,1.7341771924243588e-06
53,11768,0.0005099892130034218,0.001161051537367907,1.985045374047586e-06,6.132902150178767e-08,5.421226807470471e-06,1.7341771924243588e-06
54,12328,0.0005382917710204623,0.001161051537367907,1.9522358425865694e-06,6.132902150178767e-08,8.680888540477121e-06,1.7341771924243588e-06
55,12915,0.0005616946779753965,0.001161051537367907,1.9460974208523128e-06,6.132902150178767e-08,5.492783774251491e-06,1.7341771924243588e-06
56,13530,0.0005858432250999118,0.001161051537367907,1.9347500290063604e-06,6.132902150178767e-08,5.586395771170402e-06,1.7341771924243588e-06
57,14174,0.0006092931279951752,0.001161051537367907,1.9920247388656443e-06,6.132902150178767e-08,8.724212511917658e-06,1.7341771924243588e-06
58,14849,0.0006450888235341484,0.001161051537367907,1.9821544891014206e-06,6.132902150178767e-08,5.573831075642259e-06,1.7341771924243588e-06
59,15556,0.0006676925335239402,0.001161051537367907,1.9444540185160794e-06,6.132902150178767e-08,5.560872731953055e-06,1.7341771924243588e-06
60,16297,0.00069827119682496,0.001161051537367907,1.9742205310191172e-06,6.132902150178767e-08,8.272760417802703e-06,1.7341771924243588e-06
61,17073,0.0007303862749626031,0.001161051537367907,1.9180595242885672e-06,6.132902150178767e-08,5.641651371413093e-06,1.7341771924243588e-06
62,17886,0.0007699268263857676,0.001161051537367907,1.9539766206072707e-06,6.132902150178767e-08,5.571551335200519e-06,1.7341771924243588e-06
63,18738,0.0008098861682324669,0.001161051537367907,1.980675896734066e-06,6.132902150178767e-08,7.80573368632357e-06,1.7341771924243588e-06
64,19630,0.000844116084623021,0.001161051537367907,1.9439676860978393e-06,6.132902150178767e-08,5.620119830387561e-06,1.7341771924243588e-06
65,20565,0.0008933447006117999,0.001161051537367907,1.9590552636315114e-06,6.132902150178767e-08,7.5019597137696025e-06,1.7341771924243588e-06
66,21544,0.0009571796250617775,0.001161051537367907,1.970516719031945e-06,6.132902150178767e-08,5.743072416275087e-06,1.7341771924243588e-06
67,22570,0.0009757535141761925,0.001161051537367907,1.9940645440151905e-06,6.132902150178767e-08,8.034547662967383e-06,1.7341771924243588e-06
68,23644,0.0010200325173384606,0.001161051537367907,1.965823905194921e-06,6.132902150178767e-08,5.997169080310577e-06,1.7341771924243588e-06
69,24770,0.001069772835455453,0.001161051537367907,1.9968157580748746e-06,6.132902150178767e-08,7.441104493123849e-06,1.7341771924243588e-06
70,25950,0.0011208345710886696,0.001161051537367907,1.9767978058155333e-06,6.132902150178767e-08,5.6734434212333665e-06,1.7341771924243588e-06
