id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
45,8111,6.905173479356978e-06,1.8745958496155866e-06,1.4801381651650608e-05,3.1089527984793405e-06,7.105555609024757e-06,1.5765091566104325e-06
46,8497,6.604702511688983e-06,1.8745958496155866e-06,1.4405931264242733e-05,3.1089527984793405e-06,7.421925192203636e-06,1.5765091566104325e-06
47,8902,6.638974507078378e-06,1.8745958496155866e-06,1.4027191852885829e-05,3.1089527984793405e-06,1.0547866127084437e-05,1.5765091566104325e-06
48,9326,6.989376396164474e-06,1.8745958496155866e-06,1.3252555263060345e-05,3.1089527984793405e-06,7.363186868352234e-06,1.5765091566104325e-06
49,9770,8.04412572386321e-06,1.8745958496155866e-06,1.08946797303558e-05,3.1089527984793405e-06,7.299586230681155e-06,1.5765091566104325e-06
50,10235,7.606729042489294e-06,1.8745958496155866e-06,7.944614874425608e-06,3.1089527984793405e-06,7.529834100660837e-06,1.5765091566104325e-06
51,10722,6.66226719858219e-06,1.8745958496155866e-06,1.3810666366602765e-05,3.1089527984793405e-06,7.443498306544809e-06,1.5765091566104325e-06
52,11233,7.373826284925606e-06,1.8745958496155866e-06,1.540371224046719e-05,3.1089527984793405e-06,9.859700263644924e-06,1.5765091566104325e-06
53,11768,6.745333253405355e-06,1.8745958496155866e-06,1.3972041884058597e-05,3.1089527984793405e-06,7.425883770961489e-06,1.5765091566104325e-06
54,12328,7.789487733537698e-06,1.8745958496155866e-06,1.1624975068316995e-05,3.1089527984793405e-06,7.471448024474979e-06,1.5765091566104325e-06
55,12915,6.734406445038397e-06,1.8745958496155866e-06,1.3956707944438017e-05,3.1089527984793405e-06,7.4643383550403935e-06,1.5765091566104325e-06
56,13530,7.157579493892695e-06,1.8745958496155866e-06,1.40668018958521e-05,3.1089527984793405e-06,9.447666599586639e-06,1.5765091566104325e-06
57,14174,7.65576960758916e-06,1.8745958496155866e-06,1.527340637202725e-05,3.1089527984793405e-06,7.543238191320678e-06,1.5765091566104325e-06
58,14849,7.804696170864173e-06,1.8745958496155866e-06,1.4627860510692074e-05,3.1089527984793405e-06,8.023847304688486e-06,1.5765091566104325e-06
59,15556,7.114103257916648e-06,1.8745958496155866e-06,1.2171179569604374e-05,3.1089527984793405e-06,9.534260275799806e-06,1.5765091566104325e-06
60,16297,7.669684447605508e-06,1.8745958496155866e-06,1.5506599844324958e-05,3.1089527984793405e-06,7.779523478831778e-06,1.5765091566104325e-06
61,17073,7.936756619109508e-06,1.8745958496155866e-06,1.4514151688082346e-05,3.1089527984793405e-06,7.792250354449346e-06,1.5765091566104325e-06
62,17886,6.947956748500868e-06,1.8745958496155866e-06,1.5875603493382623e-05,3.1089527984793405e-06,9.294312285267906e-06,1.5765091566104325e-06
63,18738,8.260431431161516e-06,1.8745958496155866e-06,1.4886643337152444e-05,3.1089527984793405e-06,7.799499023939122e-06,1.5765091566104325e-06
64,19630,7.661386102179879e-06,1.8745958496155866e-06,1.4485829470416326e-05,3.1089527984793405e-06,9.270256050253668e-06,1.5765091566104325e-06
65,20565,8.11432389311045e-06,1.8745958496155866e-06,1.3849308042667685e-05,3.1089527984793405e-06,7.855535683885793e-06,1.5765091566104325e-06
66,21544,8.38455638609276e-06,1.8745958496155866e-06,1.4978273181369922e-05,3.1089527984793405e-06,8.012442353309153e-06,1.5765091566104325e-06
67,22570,8.421753379270784e-06,1.8745958496155866e-06,1.3462558065202313e-05,3.1089527984793405e-06,9.276605993971446e-06,1.5765091566104325e-06
68,23644,9.325116928247727e-06,1.8745958496155866e-06,1.5689100111585605e-05,3.1089527984793405e-06,7.772451728920186e-06,1.5765091566104325e-06
69,24770,8.872751752647797e-06,1.8745958496155866e-06,1.656588499325632e-05,3.1089527984793405e-06,8.847956990444906e-06,1.5765091566104325e-06
70,25950,9.279545102275635e-06,1.8745958496155866e-06,1.578196854490306e-05,3.1089527984793405e-06,8.8568781152626e-06,1.5765091566104325e-06
71,27185,9.659438618233214e-06,1.8745958496155866e-06,1.6708147751620658e-05,3.1089527984793405e-06,8.052566679869808e-06,1.5765091566104325e-06
72,28480,8.596421292658603e-06,1.8745958496155866e-06,1.721552081322402e-05,3.1089527984793405e-06,9.359754203410631e-06,1.5765091566104325e-06
73,29836,9.636502432781629e-06,1.8745958496155866e-06,1.700154768747784e-05,3.1089527984793405e-06,8.508553052974587e-06,1.5765091566104325e-06
74,31257,9.201102100102233e-06,1.8745958496155866e-06,1.8011331062427954e-05,3.1089527984793405e-06,9.563104446635204e-06,1.5765091566104325e-06
75,32745,9.235860300639291e-06,1.8745958496155866e-06,1.8006445779420342e-05,3.1089527984793405e-06,9.229227247484259e-06,1.5765091566104325e-06
